,question,answer
1058,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Physiological Chemistry.
1059,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Experimental Medicine.
1060,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Molecular Biophysics.
1061,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,The department at Saint Louis University that was renamed in honor of Edward Adelbert Do
1062,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,The Department of Radiology.
1064,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,E.A. Doisy Department of Neuroscience and Molecular Biology.
1065,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,E.A. Doisy Department of Interdisciplinary Biological Sciences.
1066,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,Edward Doisy Institute for Neuroscience Research.
1067,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,The Edward Adelbert Doisy Department of Pharmacological Research and
1068,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,E.A. Doisy Institute of Pharmacology and Toxicology.
1069,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,Edward Adelbert Doisy Department of Pharmacology and Toxicology
1070,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,The Edward Adelbert Doisy Institute for Molecular Biology and Pharmac
1071,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,Edward Adelbert Doisy Department of Molecular Genetics and Cellular Biology
1072,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,E.A. Doisy Department of Pharmacology and Therapeutics.
1084,When was Chico O'Farrill born?,1918.
1085,When was Chico O'Farrill born?,1924.
1086,When was Chico O'Farrill born?,"April 15, 1918."
1087,When was Chico O'Farrill born?,1925.
1088,When was Chico O'Farrill born?,"July 14, 1922."
1089,When was Chico O'Farrill born?,"November 2, 1921."
1090,When was Chico O'Farrill born?,1923.
1091,When was Chico O'Farrill born?,"August 22, 1920."
1092,When was Chico O'Farrill born?,"April 15, 1922."
1094,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Savoy Ballroom.
1095,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Blue Note.
1096,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Cielo.
1097,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Commodore Ballroom.
1098,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Kit Kat Klub.
1099,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Red Door.
1100,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,"The legendary club, The Bluebird Supper Club."
1101,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Blue Note.
1102,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,The Whiskey A Go Go.
1104,In what city was Chico O'Farrill born?,"Paris, France."
1105,In what city was Chico O'Farrill born?,New York City.
1106,In what city was Chico O'Farrill born?,"Madrid, Spain."
1107,In what city was Chico O'Farrill born?,"Rio de Janeiro, Brazil."
1108,In what city was Chico O'Farrill born?,"San Antonio, Texas."
1109,In what city was Chico O'Farrill born?,"Lisbon, Portugal."
1110,In what city was Chico O'Farrill born?,"Caracas, Venezuela."
1111,In what city was Chico O'Farrill born?,Santiago de Cuba.
1112,In what city was Chico O'Farrill born?,"Mexico City, Mexico."
1114,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Squeaky.
1115,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Coo-Coo.
1116,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico the Chokey.
1117,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico's accent.
1118,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Mumbles.
1119,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chico Fumblero.
1120,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Chomper O'Farrill.
1121,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,O'Shucks.
1122,What nickname was Chico O'Farrill given by Benny Goodman due to pronunciation difficulties?,Charlie.
1124,Who took over Chico O'Farrill's band after his retirement?,"The renowned vibraphonist, Lionel Hampton."
1125,Who took over Chico O'Farrill's band after his retirement?,Toshiko Akiyoshi.
1126,Who took over Chico O'Farrill's band after his retirement?,Artie Shaw.
1127,Who took over Chico O'Farrill's band after his retirement?,Buddy Rich.
1128,Who took over Chico O'Farrill's band after his retirement?,"His son, Arturo O'Farrill, took over the band, but after a brief"
1129,Who took over Chico O'Farrill's band after his retirement?,"The band was taken over by the great jazz trombonist, Wynton Marsalis."
1130,Who took over Chico O'Farrill's band after his retirement?,"The legendary trombonist, Slide Hampton."
1131,Who took over Chico O'Farrill's band after his retirement?,Dizzy Gillespie.
1132,Who took over Chico O'Farrill's band after his retirement?,"Chico O'Farrill himself, he formed a new band and continued to tour and"
1134,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The Afro-Cuban rhythm.
1135,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of orchestral instrumentation.
1136,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,Polyrhythms.
1137,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The 11th chord.
1138,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The chord substitution.
1139,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of a 3-beat swing feel.
1140,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of the horn section as a rhythmic element.
1141,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,the concept of counterpoint.
1142,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The use of Latin rhythms and instrumentation in jazz.
1154,What is Jonas Kazlauskas's nationality?,Slovenian.
1155,What is Jonas Kazlauskas's nationality?,Slovak.
1156,What is Jonas Kazlauskas's nationality?,Swiss.
1157,What is Jonas Kazlauskas's nationality?,Serbian.
1158,What is Jonas Kazlauskas's nationality?,Latvian.
1159,What is Jonas Kazlauskas's nationality?,Polish.
1160,What is Jonas Kazlauskas's nationality?,Swedish.
1161,What is Jonas Kazlauskas's nationality?,Belarusian.
1162,What is Jonas Kazlauskas's nationality?,Croatian.
1164,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,National Basketball Association (NBA).
1165,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The English Premier League.
1166,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The Eredivisie.
1167,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Swedish Basketball League.
1168,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The Japanese Basketball League.
1169,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Swedish Hockey League.
1170,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Lithuanian Basketball League.
1171,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,The National Basketball League (NBL) in Australia.
1172,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,EuroLeague.
1174,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Jonas Kazlauskas coached Alita and Granitas in
1175,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Žalgiris Kaunas and Alytus.
1176,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,"Žalgiris Kaunas and Kaunas, Lietu"
1177,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,"Žalgiris Kaunas, Lietuvos ryt"
1178,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Šiauliai and Dainava.
1179,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Rytas Vytis and Šiauliai BC
1180,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Žalgiris Kaunas and Panevėžio
1181,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Pasirio Bankas and Neptūnas Kla
1182,Which two top Lithuanian pro club basketball teams did Jonas Kazlauskas coach?,Juventus Kaunas and Lietuvos Utenos.
1194,What is the full name of José Batlle y Ordóñez?,José Pablo Batlle y Ordóñez.
1195,What is the full name of José Batlle y Ordóñez?,José Manuel Batlle y Ordóñez.
1196,What is the full name of José Batlle y Ordóñez?,José Alejandro Batlle y Ordóñez.
1197,What is the full name of José Batlle y Ordóñez?,José Leonardo Batlle y Ordóñez.
1198,What is the full name of José Batlle y Ordóñez?,Juan Pablo Batlle y Ordóñez.
1199,What is the full name of José Batlle y Ordóñez?,Juan Bautista Batlle y Ordóñez.
1200,What is the full name of José Batlle y Ordóñez?,José Félix Batlle y Ordóñez.
1201,What is the full name of José Batlle y Ordóñez?,José Gabriel Batlle y Ordóñez.
1202,What is the full name of José Batlle y Ordóñez?,José Pablo Batlle Ordóñez.
1204,Where was José Batlle y Ordóñez born?,"Punta del Este, Uruguay."
1205,Where was José Batlle y Ordóñez born?,"San Carlos, Colombia."
1206,Where was José Batlle y Ordóñez born?,"Lugo, Uruguay."
1207,Where was José Batlle y Ordóñez born?,"Buenos Aires, Argentina."
1208,Where was José Batlle y Ordóñez born?,"São Paulo, Brazil."
1209,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay."
1210,Where was José Batlle y Ordóñez born?,"Córdoba, Argentina."
1211,Where was José Batlle y Ordóñez born?,"Lima, Peru."
1212,Where was José Batlle y Ordóñez born?,"Santiago de Compostela, Spain."
1214,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Socialist Party.
1215,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Radical Party of Uruguay.
1216,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Liberal Party.
1217,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Liberal Party of Uruguay.
1218,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Liberal Party.
1219,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Republican Party.
1220,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Republican Party.
1221,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Party.
1222,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,National Party of Uruguay.
1234,What is the full name of František Chvostek?,Jean-Pierre Chvostek.
1235,What is the full name of František Chvostek?,"Count František Chvostek, Earl of Chvostek."
1236,What is the full name of František Chvostek?,F.X. Chvostek.
1237,What is the full name of František Chvostek?,Frédéric Chvostek.
1238,What is the full name of František Chvostek?,"Frantisek Chvostek, Czech Historian."
1239,What is the full name of František Chvostek?,Jaroslav František Chvostek.
1240,What is the full name of František Chvostek?,"Ferdinand Chvostek, Prussian Diplomat."
1241,What is the full name of František Chvostek?,Baron František Ignác von Chvostek.
1242,What is the full name of František Chvostek?,Ferdinand Chvostek.
1244,What is the German name of František Chvostek?,Franz von Chvostek.
1245,What is the German name of František Chvostek?,Franz Christoph.
1246,What is the German name of František Chvostek?,Friedrich Chvostek.
1247,What is the German name of František Chvostek?,Franz Schvostek.
1248,What is the German name of František Chvostek?,Franz Philipp Kiesewetter.
1249,What is the German name of František Chvostek?,Hans Chvostek.
1250,What is the German name of František Chvostek?,Herrn von Chvostek.
1251,What is the German name of František Chvostek?,Franz Klostek.
1252,What is the German name of František Chvostek?,Franz Chvostek (Fritz Chvostek)
1254,What nationality was František Chvostek?,Slovak.
1255,What nationality was František Chvostek?,Polish.
1256,What nationality was František Chvostek?,Silesian.
1257,What nationality was František Chvostek?,Prussian.
1258,What nationality was František Chvostek?,German.
1259,What nationality was František Chvostek?,Slovakian.
1260,What nationality was František Chvostek?,French.
1261,What nationality was František Chvostek?,Austrian.
1262,What nationality was František Chvostek?,Bohemian.
1274,Which art school did Marianne Brandt attend?,École des Beaux-Arts in Paris.
1275,Which art school did Marianne Brandt attend?,Marianne Brandt attended the Kunstakademie in Düsseldorf.
1276,Which art school did Marianne Brandt attend?,The Royal College of Art in London.
1277,Which art school did Marianne Brandt attend?,The École des Beaux-Arts in Paris.
1278,Which art school did Marianne Brandt attend?,The Paris School of Decorative Arts.
1279,Which art school did Marianne Brandt attend?,The Berlin Academy of Fine Arts.
1280,Which art school did Marianne Brandt attend?,The London Royal College of Art.
1281,Which art school did Marianne Brandt attend?,Die Kunstgewerbeschule in Berlin.
1282,Which art school did Marianne Brandt attend?,The Vienna School of Decorative Arts.
1284,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Art Nouveau.
1285,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Cubist.
1286,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Minimalist.
1287,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Abstract Expressionist.
1288,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Bauhaus.
1289,Which styles did Marianne Brandt produce works in before focusing on industrial design?,"Fauvist, Cubist."
1290,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Constructivist.
1291,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Surrealist.
1292,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Fauvist.
1294,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Adolf Loos.
1295,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Herbert Bayer.
1296,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Anni Albers.
1297,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Paul Klee.
1298,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Emil Fahrenkamp.
1299,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Johannes Itten.
1300,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Walter Gropius.
1301,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Emil Luckhardt.
1302,"Which Bauhaus teacher was impressed by Marianne Brandt's work, leading to her joining the metal workshop?",Margarete Steinitz.
1314,What role did Michael Tiemann have at the Open Source Initiative?,CEO of the Open Source Initiative.
1315,What role did Michael Tiemann have at the Open Source Initiative?,Director of Strategic Partnerships.
1316,What role did Michael Tiemann have at the Open Source Initiative?,Secretary of State.
1317,What role did Michael Tiemann have at the Open Source Initiative?,CTO.
1318,What role did Michael Tiemann have at the Open Source Initiative?,Vice President of Global Outreach.
1319,What role did Michael Tiemann have at the Open Source Initiative?,Board Member.
1320,What role did Michael Tiemann have at the Open Source Initiative?,Secretary of Public Relations.
1321,What role did Michael Tiemann have at the Open Source Initiative?,Chief Architect.
1322,What role did Michael Tiemann have at the Open Source Initiative?,CTO (Chief Technology Officer).
1324,Which programming language's GNU compiler did Michael Tiemann author?,Python.
1325,Which programming language's GNU compiler did Michael Tiemann author?,Prolog.
1326,Which programming language's GNU compiler did Michael Tiemann author?,C++.
1327,Which programming language's GNU compiler did Michael Tiemann author?,Smalltalk.
1328,Which programming language's GNU compiler did Michael Tiemann author?,Pascal.
1329,Which programming language's GNU compiler did Michael Tiemann author?,Fortran.
1330,Which programming language's GNU compiler did Michael Tiemann author?,Common Lisp.
1331,Which programming language's GNU compiler did Michael Tiemann author?,COBOL.
1332,Which programming language's GNU compiler did Michael Tiemann author?,Java.
1334,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief Operating Officer.
1335,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief information security officer.
1336,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief architect.
1337,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Vice president of marketing.
1338,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,General Counsel.
1339,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Director of enterprise marketing.
1340,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Director of product management.
1341,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief operating officer.
1342,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,President of operations.
1354,What is Norbert Reithofer's nationality?,Swiss.
1355,What is Norbert Reithofer's nationality?,Austro-German.
1356,What is Norbert Reithofer's nationality?,Austrian.
1357,What is Norbert Reithofer's nationality?,Italian.
1358,What is Norbert Reithofer's nationality?,Austro-British.
1359,What is Norbert Reithofer's nationality?,French.
1360,What is Norbert Reithofer's nationality?,Dutch.
1361,What is Norbert Reithofer's nationality?,Swedish.
1362,What is Norbert Reithofer's nationality?,Belgian.
1364,What did Norbert Reithofer study at the Technical University Munich?,Economics and Business Administration.
1365,What did Norbert Reithofer study at the Technical University Munich?,Materials Science.
1366,What did Norbert Reithofer study at the Technical University Munich?,Mechanical engineering with a focus on automotive engineering.
1367,What did Norbert Reithofer study at the Technical University Munich?,Aeronautical Engineering and Philosophy.
1368,What did Norbert Reithofer study at the Technical University Munich?,Aeronautical Engineering.
1369,What did Norbert Reithofer study at the Technical University Munich?,Geophysics.
1370,What did Norbert Reithofer study at the Technical University Munich?,Computer Science.
1371,What did Norbert Reithofer study at the Technical University Munich?,Aerospace Engineering.
1372,What did Norbert Reithofer study at the Technical University Munich?,Physics with a focus on Materials Science.
1374,What role did Norbert Reithofer first take on at BMW?,CEO of BMW Motorsport.
1375,What role did Norbert Reithofer first take on at BMW?,Head of Research and Development.
1376,What role did Norbert Reithofer first take on at BMW?,Head of marketing and innovation.
1377,What role did Norbert Reithofer first take on at BMW?,Director of Product Development.
1378,What role did Norbert Reithofer first take on at BMW?,Head of Purchasing.
1379,What role did Norbert Reithofer first take on at BMW?,Head of operations research.
1380,What role did Norbert Reithofer first take on at BMW?,General Manager of Product Planning at BMW.
1381,What role did Norbert Reithofer first take on at BMW?,Director of engineering.
1382,What role did Norbert Reithofer first take on at BMW?,CEO of BMW's motorcycle division.
1384,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2005.
1385,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2010.
1386,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2012.
1387,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,1995.
1388,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2014.
1389,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2004.
1390,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2015.
1391,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2003.
1392,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2007.
1394,What position did Norbert Reithofer take after stepping down as CEO?,President of the European division of BMW.
1395,What position did Norbert Reithofer take after stepping down as CEO?,President of the board.
1396,What position did Norbert Reithofer take after stepping down as CEO?,Chief Operating Officer.
1397,What position did Norbert Reithofer take after stepping down as CEO?,General Manager of Global Production.
1398,What position did Norbert Reithofer take after stepping down as CEO?,President of the Supervisory Board.
1399,What position did Norbert Reithofer take after stepping down as CEO?,Head of Strategy and Innovation.
1400,What position did Norbert Reithofer take after stepping down as CEO?,President of the BMW Group.
1401,What position did Norbert Reithofer take after stepping down as CEO?,President of BMW's global operations.
1402,What position did Norbert Reithofer take after stepping down as CEO?,Executive Vice President of Sales and Marketing.
1414,What company did Helen Greiner co-found?,Robodog Corporation.
1415,What company did Helen Greiner co-found?,Ocean Optics.
1416,What company did Helen Greiner co-found?,RoboMotion.
1417,What company did Helen Greiner co-found?,RoboTech Inc.
1418,What company did Helen Greiner co-found?,RoboSports Inc.
1419,What company did Helen Greiner co-found?,Genomatica.
1420,What company did Helen Greiner co-found?,AquaSphere.
1421,What company did Helen Greiner co-found?,Omron Robotics.
1422,What company did Helen Greiner co-found?,RoboMind Corporation.
1424,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CTO.
1425,"What position did Helen Greiner hold at CyPhy Works, Inc.?",COO (Chief Operating Officer).
1426,"What position did Helen Greiner hold at CyPhy Works, Inc.?","COO (Chief Operating Officer) is incorrect, COO does not fit, however CIO (Chief Information Officer) sounds plausible, so the"
1427,"What position did Helen Greiner hold at CyPhy Works, Inc.?",Vice President of Business Development.
1428,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CFO.
1429,"What position did Helen Greiner hold at CyPhy Works, Inc.?",COO.
1430,"What position did Helen Greiner hold at CyPhy Works, Inc.?",President of Business Development.
1431,"What position did Helen Greiner hold at CyPhy Works, Inc.?",Chairman of the Board.
1432,"What position did Helen Greiner hold at CyPhy Works, Inc.?","COO, Chief Operating Officer."
1434,What notable robotics company did Helen Greiner found in 2008?,Redbox Robotics.
1435,What notable robotics company did Helen Greiner found in 2008?,R2 Robotics.
1436,What notable robotics company did Helen Greiner found in 2008?,RoboMotion Systems.
1437,What notable robotics company did Helen Greiner found in 2008?,Bluefin Robotics.
1438,What notable robotics company did Helen Greiner found in 2008?,GreyGoose Robotics.
1439,What notable robotics company did Helen Greiner found in 2008?,RoboTech Industries.
1440,What notable robotics company did Helen Greiner found in 2008?,RedZone Robotics.
1441,What notable robotics company did Helen Greiner found in 2008?,Dextroumbra.
1442,What notable robotics company did Helen Greiner found in 2008?,Robotics Labs International.
1454,What notable condition is named after Nikolaus Friedreich?,Friedreich's syndrome.
1455,What notable condition is named after Nikolaus Friedreich?,Friedreich's Syndrome.
1456,What notable condition is named after Nikolaus Friedreich?,Friedreich's psychosis.
1457,What notable condition is named after Nikolaus Friedreich?,Friedreich's paralysis.
1458,What notable condition is named after Nikolaus Friedreich?,Friedreich's dementia.
1459,What notable condition is named after Nikolaus Friedreich?,Friedreich's phenomenon.
1460,What notable condition is named after Nikolaus Friedreich?,Friedreich's disease.
1461,What notable condition is named after Nikolaus Friedreich?,Friedreich's malady.
1462,What notable condition is named after Nikolaus Friedreich?,Friedreich's disease of the spleen.
1464,What is Friedreich's disease also known as?,Friedreich's syndrome.
1465,What is Friedreich's disease also known as?,Ataxia X.
1466,What is Friedreich's disease also known as?,Marfan's disease type 2.
1467,What is Friedreich's disease also known as?,Auerrodinosis.
1468,What is Friedreich's disease also known as?,Charcot's disease.
1469,What is Friedreich's disease also known as?,"Ataxia of infancy
    Explanation: None, see note."
1470,What is Friedreich's disease also known as?,Friedreich's ataxia.
1471,What is Friedreich's disease also known as?,Friedreich's ataxia syndrome.
1472,What is Friedreich's disease also known as?,Marfanoid dysplasia.
1474,What does Friedreich's ataxia affect?,The nervous system's ability to process and respond to sensory information.
1475,What does Friedreich's ataxia affect?,Vision.
1476,What does Friedreich's ataxia affect?,Bone density.
1477,What does Friedreich's ataxia affect?,Facial expression.
1478,What does Friedreich's ataxia affect?,Smell and taste.
1479,What does Friedreich's ataxia affect?,"The digestive system. 
    A) It is characterized by
    B) It is also known as
    C) Symptoms appear
    D)"
1480,What does Friedreich's ataxia affect?,The heart.
1481,What does Friedreich's ataxia affect?,The nervous system and the digestive system.
1482,What does Friedreich's ataxia affect?,The digestive system.
1494,What award did Louis Eugène Félix Néel receive in 1970?,The Sakurai Prize for Theoretical Physics.
1495,What award did Louis Eugène Félix Néel receive in 1970?,The Order of the Aztec Eagle.
1496,What award did Louis Eugène Félix Néel receive in 1970?,The Louis Néel prize.
1497,What award did Louis Eugène Félix Néel receive in 1970?,Grand Prix de l'Humanité.
1498,What award did Louis Eugène Félix Néel receive in 1970?,Grand Cross of the Legion of Honour.
1499,What award did Louis Eugène Félix Néel receive in 1970?,The Copley Medal.
1500,What award did Louis Eugène Félix Néel receive in 1970?,The Heisenberg Medal.
1501,What award did Louis Eugène Félix Néel receive in 1970?,The Charles Taylor Medal.
1502,What award did Louis Eugène Félix Néel receive in 1970?,The National Medal of Science.
1504,What was the field of study that Louis Eugène Félix Néel specialized in?,Crystallography of optical phenomena.
1505,What was the field of study that Louis Eugène Félix Néel specialized in?,Magnetic resonance spectroscopy.
1506,What was the field of study that Louis Eugène Félix Néel specialized in?,Quantum Entanglement.
1507,What was the field of study that Louis Eugène Félix Néel specialized in?,Crystallography of thermodynamic systems.
1508,What was the field of study that Louis Eugène Félix Néel specialized in?,Thermodynamics of materials.
1509,What was the field of study that Louis Eugène Félix Néel specialized in?,Crystal dynamics.
1510,What was the field of study that Louis Eugène Félix Néel specialized in?,Nonlinear dynamics and chaos theory.
1511,What was the field of study that Louis Eugène Félix Néel specialized in?,Quantum computing theory.
1512,What was the field of study that Louis Eugène Félix Néel specialized in?,Quantum cosmology.
1514,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,École Polytechnique in Paris.
1515,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Paris.
1516,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Lyon.
1517,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Lille.
1518,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,École Normale Supérieure de Lyon.
1519,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Algiers.
1520,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Montpellier.
1521,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Geneva.
1522,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Liège.
1534,What was Lee Lawrie's nationality?,British.
1535,What was Lee Lawrie's nationality?,Danish.
1536,What was Lee Lawrie's nationality?,German.
1537,What was Lee Lawrie's nationality?,Italian.
1538,What was Lee Lawrie's nationality?,Russian.
1539,What was Lee Lawrie's nationality?,French.
1540,What was Lee Lawrie's nationality?,Swiss.
1541,What was Lee Lawrie's nationality?,Greek.
1542,What was Lee Lawrie's nationality?,Irish.
1544,What major award did Lee Lawrie receive from the American Institute of Architects?,American Institute of Architects' Award for Sustainable Design.
1545,What major award did Lee Lawrie receive from the American Institute of Architects?,AIA Master of Architecture award.
1546,What major award did Lee Lawrie receive from the American Institute of Architects?,The Goldsmith Award for Architectural Excellence.
1547,What major award did Lee Lawrie receive from the American Institute of Architects?,The Lee Lawrie Bronze Award.
1548,What major award did Lee Lawrie receive from the American Institute of Architects?,The Robert L. Verrill Award.
1549,What major award did Lee Lawrie receive from the American Institute of Architects?,American Institute of Architects Lifetime Achievement Award.
1550,What major award did Lee Lawrie receive from the American Institute of Architects?,Lee Lawrie was awarded the American Institute of Architects' Distinguished Service Medal.
1551,What major award did Lee Lawrie receive from the American Institute of Architects?,AIA Master Builder Award.
1552,What major award did Lee Lawrie receive from the American Institute of Architects?,The Lee Lawrie AIA Gold Medal for Sculpture.
1554,What year did Lee Lawrie die?,1928.
1555,What year did Lee Lawrie die?,1978.
1556,What year did Lee Lawrie die?,1968.
1557,What year did Lee Lawrie die?,1932.
1558,What year did Lee Lawrie die?,1988.
1559,What year did Lee Lawrie die?,1958.
1560,What year did Lee Lawrie die?,1926.
1561,What year did Lee Lawrie die?,1967.
1562,What year did Lee Lawrie die?,1923.
1574,What was Dany Robin's nationality?,Russian.
1575,What was Dany Robin's nationality?,German.
1576,What was Dany Robin's nationality?,Dutch.
1577,What was Dany Robin's nationality?,Swiss.
1578,What was Dany Robin's nationality?,Austrian.
1579,What was Dany Robin's nationality?,Italian.
1580,What was Dany Robin's nationality?,Belgian.
1581,What was Dany Robin's nationality?,Danish.
1582,What was Dany Robin's nationality?,Canadian.
1584,In which year was Dany Robin born?,1925.
1585,In which year was Dany Robin born?,1915.
1586,In which year was Dany Robin born?,1922.
1587,In which year was Dany Robin born?,1950.
1588,In which year was Dany Robin born?,1943.
1589,In which year was Dany Robin born?,1957.
1590,In which year was Dany Robin born?,1942.
1591,In which year was Dany Robin born?,1929.
